holeIndex,pixelX,pixelY,refX,refY
1,132.282352110988,108.869633357059,-2.62021601015885,-3.11407804637455
2,383.833291583025,110.826638802533,2.68593661932944,-3.07279746275906
3,255.14884936239,142.01772807162,-0.0285008337620818,-2.41486042348927
4,192.747742534512,172.171437762139,-1.34477418091263,-1.77880560970488
5,318.67274833861,172.276453291545,1.31145641026755,-1.77659043838147
6,254.267515194732,203.77059646768,-0.0470914763611283,-1.11226085575986
7,160.827079274601,233.240093341245,-2.01810067155138,-0.490638656083108
8,350.036850711509,234.046849125509,1.97304294469589,-0.473621151258787
9,222.9138684642,234.078118610912,-0.708457462083278,-0.472961560551071
10,285.79915731463,234.124790605861,0.618029099605472,-0.471977073157619
11,253.300207405132,264.239248829177,-0.0674956250479983,0.163249779990452
12,190.82738339594,294.234469325115,-1.38528175649188,0.795961462326643
13,316.922808118398,294.876893931428,1.27454360874745,0.809512606366066
14,252.99755729229,325.016087038737,-0.0738796508657522,1.44526121097337
15,382.276628205851,354.416956222894,2.65310075121717,2.06543579532668
16,127.132330848432,354.974519091779,-2.72884927116588,2.07719688709221
